Interface Name,Source Name,Element Name,LDM Field,LDM Object,LDM Text,LDM Text Type,Internal ID
UI Assets details,BTFG$UI_ASSET_LIST.ASSET.XSD,ips_invst_style_id,Investment Style ID,,LDM:btfg$code_ldm_obj_fld.ips$invst_style,ldm_obj_fld,ips$invst_style
UI Assets details,BTFG$UI_ASSET_LIST.ASSET.XSD,mp_sub_type_id,MP Sub Type ID,,LDM:btfg$code_ldm_obj_fld.ips$mp_sub_type,ldm_obj_fld,ips$mp_sub_type
UI Benchmark Details,BTFG$UI_BMRK_LIST.BMRK.XSD,bmrk_id,Benchmark,Benchmark,LDM:btfg$code_ldm_obj.bmrk,ldm_obj,bmrk
UI Benchmark Details,BTFG$UI_BMRK_LIST.BMRK.XSD,bmrk_name,Benchmark Name,,LDM:btfg$code_ldm_obj_fld.bmrk$bmrk_name,ldm_obj_fld,bmrk$bmrk_name
UI Benchmark Details,BTFG$UI_BMRK_LIST.BMRK.XSD,bmrk_sym,Benchmark Key,,LDM:btfg$code_ldm_obj_fld.bmrk$bmrk_sym,ldm_obj_fld,bmrk$bmrk_sym
"UI Booking details by BP, Cont, Pos, Evt",BTFG$UI_BOOK_LIST.BP_CONT_POS_EVT.XSD,bp_id,Account,Account,LDM:btfg$code_ldm_obj.acc,ldm_obj,acc
"UI Booking details by BP, Cont, Pos, Evt",BTFG$UI_BOOK_LIST.BP_CONT_POS_EVT.XSD,asset_id,Asset,Asset,LDM:btfg$code_ldm_obj.asset,ldm_obj,asset
"UI Booking details by BP, Cont, Pos, Evt",BTFG$UI_BOOK_LIST.BP_CONT_POS_EVT.XSD,cont_id,Container,Container,LDM:btfg$code_ldm_obj.cont,ldm_obj,cont
"UI Booking details by BP, Cont, Pos, Evt",BTFG$UI_BOOK_LIST.BP_CONT_POS_EVT.XSD,pos_curry_id,Currency,Currency,LDM:btfg$code_ldm_obj.curry,ldm_obj,curry
"UI Booking details by BP, Cont, Pos, Evt",BTFG$UI_BOOK_LIST.BP_CONT_POS_EVT.XSD,cont_type_id,Container Type,,LDM:btfg$code_ldm_obj_fld.cont$cont_type,ldm_obj_fld,cont$cont_type
"UI Booking details by BP, Cont, Pos, Evt",BTFG$UI_BOOK_LIST.BP_CONT_POS_EVT.XSD,pos_name,Position Name,,LDM:btfg$code_ldm_obj_fld.pos$pos_name,ldm_obj_fld,pos$pos_name
Transaction type sum,BTFG$UI_BOOK_LIST.BP_OT.XSD,bp_id,Account,Account,LDM:btfg$code_ldm_obj.acc,ldm_obj,acc
Fee bookings with GST,BTFG$UI_BOOK_LIST.DG_AVSR_EVT#GST.XSD,bp_id,Account,Account,LDM:btfg$code_ldm_obj.acc,ldm_obj,acc
Fee bookings with GST,BTFG$UI_BOOK_LIST.DG_AVSR_EVT#GST.XSD,cont_id,Container,Container,LDM:btfg$code_ldm_obj.cont,ldm_obj,cont
Fee bookings with GST,BTFG$UI_BOOK_LIST.DG_AVSR_EVT#GST.XSD,pos_curry_id,Currency,Currency,LDM:btfg$code_ldm_obj.curry,ldm_obj,curry
Fee bookings with GST,BTFG$UI_BOOK_LIST.DG_AVSR_EVT#GST.XSD,dg_oe_owner,Legal Person,Legal Person,LDM:btfg$code_ldm_obj.person_legal,ldm_obj,person_legal
