Interface Name,Source Name,LDM Text Type,Internal ID,LDM Object Type,Element Name,LDM Field,Entity Name_x,LDM Text,Entity Name_y,Attribute Name,Type,Description
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$activ_acc,person_oe,activ_acc,Organisational Entity Active Accounts,-,LDM:btfg$code_ldm_obj_fld.person_oe$activ_acc,Office,Organisational Entity Active Accounts,pls_integer or number,(ABS Field Type Avaloq DDIC Number)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$activ_acc,person_oe,activ_acc,Organisational Entity Active Accounts,-,LDM:btfg$code_ldm_obj_fld.person_oe$activ_acc,Adviser Position,Organisational Entity Active Accounts,pls_integer or number,(ABS Field Type Avaloq DDIC Number)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$activ_acc,person_oe,activ_acc,Organisational Entity Active Accounts,-,LDM:btfg$code_ldm_obj_fld.person_oe$activ_acc,Internal Structure,Organisational Entity Active Accounts,pls_integer or number,(ABS Field Type Avaloq DDIC Number)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$activ_acc,person_oe,activ_acc,Organisational Entity Active Accounts,-,LDM:btfg$code_ldm_obj_fld.person_oe$activ_acc,Investment Manager Structure,Organisational Entity Active Accounts,pls_integer or number,(ABS Field Type Avaloq DDIC Number)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$activ_acc,person_oe,activ_acc,Organisational Entity Active Accounts,-,LDM:btfg$code_ldm_obj_fld.person_oe$activ_acc,Investment Manager Position,Organisational Entity Active Accounts,pls_integer or number,(ABS Field Type Avaloq DDIC Number)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$distr_channel,person_oe,distr_channel_id,Distibution Channel ID,-,LDM:btfg$code_ldm_obj_fld.person_oe$distr_channel,Organizational Entity,Distibution Channel ID,varchar2(2000),(ABS Field Type Avaloq Class)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$distr_channel,person_oe,distr_channel_id,Distibution Channel ID,-,LDM:btfg$code_ldm_obj_fld.person_oe$distr_channel,Intermediary Structure,Distibution Channel ID,varchar2(2000),(ABS Field Type Avaloq Class)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$distr_channel,person_oe,distr_channel_id,Distibution Channel ID,-,LDM:btfg$code_ldm_obj_fld.person_oe$distr_channel,Issuer Entity,Distibution Channel ID,varchar2(2000),(ABS Field Type Avaloq Class)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$distr_channel,person_oe,distr_channel_id,Distibution Channel ID,-,LDM:btfg$code_ldm_obj_fld.person_oe$distr_channel,Super Dealer Group,Distibution Channel ID,varchar2(2000),(ABS Field Type Avaloq Class)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$distr_channel,person_oe,distr_channel_id,Distibution Channel ID,-,LDM:btfg$code_ldm_obj_fld.person_oe$distr_channel,Dealer Group,Distibution Channel ID,varchar2(2000),(ABS Field Type Avaloq Class)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$distr_channel,person_oe,distr_channel_id,Distibution Channel ID,-,LDM:btfg$code_ldm_obj_fld.person_oe$distr_channel,Practice,Distibution Channel ID,varchar2(2000),(ABS Field Type Avaloq Class)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$distr_channel,person_oe,distr_channel_id,Distibution Channel ID,-,LDM:btfg$code_ldm_obj_fld.person_oe$distr_channel,Office,Distibution Channel ID,varchar2(2000),(ABS Field Type Avaloq Class)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$distr_channel,person_oe,distr_channel_id,Distibution Channel ID,-,LDM:btfg$code_ldm_obj_fld.person_oe$distr_channel,Adviser Position,Distibution Channel ID,varchar2(2000),(ABS Field Type Avaloq Class)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$distr_channel,person_oe,distr_channel_id,Distibution Channel ID,-,LDM:btfg$code_ldm_obj_fld.person_oe$distr_channel,Internal Structure,Distibution Channel ID,varchar2(2000),(ABS Field Type Avaloq Class)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$distr_channel,person_oe,distr_channel_id,Distibution Channel ID,-,LDM:btfg$code_ldm_obj_fld.person_oe$distr_channel,Investment Manager Structure,Distibution Channel ID,varchar2(2000),(ABS Field Type Avaloq Class)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$distr_channel,person_oe,distr_channel_id,Distibution Channel ID,-,LDM:btfg$code_ldm_obj_fld.person_oe$distr_channel,Investment Manager Position,Distibution Channel ID,varchar2(2000),(ABS Field Type Avaloq Class)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$fua,person_oe,fua,Organisational Entity Funds Under Administration,-,LDM:btfg$code_ldm_obj_fld.person_oe$fua,Organizational Entity,Organisational Entity Funds Under Administration,pls_integer or number,(ABS Field Type Avaloq DDIC Number)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$fua,person_oe,fua,Organisational Entity Funds Under Administration,-,LDM:btfg$code_ldm_obj_fld.person_oe$fua,Intermediary Structure,Organisational Entity Funds Under Administration,pls_integer or number,(ABS Field Type Avaloq DDIC Number)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$fua,person_oe,fua,Organisational Entity Funds Under Administration,-,LDM:btfg$code_ldm_obj_fld.person_oe$fua,Issuer Entity,Organisational Entity Funds Under Administration,pls_integer or number,(ABS Field Type Avaloq DDIC Number)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$fua,person_oe,fua,Organisational Entity Funds Under Administration,-,LDM:btfg$code_ldm_obj_fld.person_oe$fua,Super Dealer Group,Organisational Entity Funds Under Administration,pls_integer or number,(ABS Field Type Avaloq DDIC Number)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$fua,person_oe,fua,Organisational Entity Funds Under Administration,-,LDM:btfg$code_ldm_obj_fld.person_oe$fua,Dealer Group,Organisational Entity Funds Under Administration,pls_integer or number,(ABS Field Type Avaloq DDIC Number)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$fua,person_oe,fua,Organisational Entity Funds Under Administration,-,LDM:btfg$code_ldm_obj_fld.person_oe$fua,Practice,Organisational Entity Funds Under Administration,pls_integer or number,(ABS Field Type Avaloq DDIC Number)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$fua,person_oe,fua,Organisational Entity Funds Under Administration,-,LDM:btfg$code_ldm_obj_fld.person_oe$fua,Office,Organisational Entity Funds Under Administration,pls_integer or number,(ABS Field Type Avaloq DDIC Number)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$fua,person_oe,fua,Organisational Entity Funds Under Administration,-,LDM:btfg$code_ldm_obj_fld.person_oe$fua,Adviser Position,Organisational Entity Funds Under Administration,pls_integer or number,(ABS Field Type Avaloq DDIC Number)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$fua,person_oe,fua,Organisational Entity Funds Under Administration,-,LDM:btfg$code_ldm_obj_fld.person_oe$fua,Internal Structure,Organisational Entity Funds Under Administration,pls_integer or number,(ABS Field Type Avaloq DDIC Number)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$fua,person_oe,fua,Organisational Entity Funds Under Administration,-,LDM:btfg$code_ldm_obj_fld.person_oe$fua,Investment Manager Structure,Organisational Entity Funds Under Administration,pls_integer or number,(ABS Field Type Avaloq DDIC Number)
